country,airportCity,airportName,airportCode
United States,Atlanta,Hartsfield–Jackson Atlanta International Airport,ATL
China,Beijing,Beijing Capital International Airport,PEK
United States,Los Angeles,Los Angeles International Airport,LAX
United Arab Emirates,Dubai,Dubai International Airport,DXB
Japan,Tokyo,Tokyo Haneda Airport,HND
United States,Chicago,O'Hare International Airport,ORD
United Kingdom,London,Heathrow Airport,LHR
China,Shanghai,Shanghai Pudong International Airport,PVG
France,Paris,Charles de Gaulle Airport,CDG
United States,Dallas,Dallas/Fort Worth International Airport,DFW
China,Guangzhou,Guangzhou Baiyun International Airport,CAN
Netherlands,Amsterdam,Amsterdam Airport Schiphol,AMS
Hong Kong,Hong Kong,Hong Kong International Airport,HKG
South Korea,Seoul,Seoul Incheon International Airport,ICN
Germany,Frankfurt,Frankfurt Airport,FRA
United States,Denver,Denver International Airport,DEN
India,Delhi,Indira Gandhi International Airport,DEL
Singapore,Changi,Singapore Changi Airport,SIN
Thailand,Bangkok,Suvarnabhumi Airport,BKK
United States,New York City,John F. Kennedy International Airport,JFK
Malaysia,Kuala Lumpur,Kuala Lumpur International Airport,KUL
Spain,Madrid,Madrid Barajas Airport,MAD
United States,San Francisco,San Francisco International Airport,SFO
China,Chengdu,Chengdu Shuangliu International Airport,CTU
Indonesia,Tangerang,Soekarno–Hatta International Airport,CGK
China,Shenzhen,Shenzhen Bao'an International Airport,SZX
Spain,Barcelona,Barcelona–El Prat Airport,BCN
Turkey,Istanbul,Istanbul Airport,IST
United States,Seattle,Seattle–Tacoma International Airport,SEA
United States,Las Vegas,McCarran International Airport,LAS
United States,Orlando,Orlando International Airport,MCO
Canada,Toronto,Toronto Pearson International Airport,YYZ
Mexico,Mexico City,Mexico City International Airport,MEX
United States,Charlotte,Charlotte Douglas International Airport,CLT
Russia,Moscow,Sheremetyevo International Airport,SVO
Taiwan,Taoyuan,Taiwan Taoyuan International Airport,TPE
China,Kunming,Kunming Changshui International Airport,KMG
Germany,Munich,Munich Airport,MUC
Philippines,Manila,Ninoy Aquino International Airport,MNL
China,Xianyang,Xi'an Xianyang International Airport,XIY
India,Mumbai,Chhatrapati Shivaji Maharaj International Airport,BOM
United Kingdom,Crawley,London Gatwick Airport,LGW
United States,Newark,Newark Liberty International Airport,EWR
United States,Phoenix,Phoenix Sky Harbor International Airport,PHX
United States,Miami,Miami International Airport,MIA
China,Hongqiao,Shanghai Hongqiao International Airport,SHA
United States,Houston,George Bush Intercontinental Airport,IAH
China,Yubei,Chongqing Jiangbei International Airport,CKG
Australia,Mascot,Sydney Kingsford-Smith Airport,SYD
Japan,Narita,Narita International Airport,NRT
