date,France,South Korea,United States,Turkey,United Kingdom
1/1/2022,219126,3830,188995,36731,163277
1/2/2022,58432,3124,285649,33520,135514
1/3/2022,67461,3019,1043957,44869,188077
1/4/2022,271746,4443,811833,54724,219290
1/5/2022,332252,4123,662548,66467,194494
1/6/2022,262787,3716,834748,68413,180516
1/7/2022,328214,3507,869717,63214,179044
1/8/2022,303669,3376,397829,66237,141355
1/9/2022,296097,2999,485174,61727,141965
1/10/2022,93896,3093,1382120,65236,142701
1/11/2022,368379,4385,786384,74266,115834
1/12/2022,361719,4162,848812,77722,130089
1/13/2022,308221,4536,861709,75564,106095
1/14/2022,329371,4418,879779,67857,99009
1/15/2022,324580,4190,409343,63967,81102
1/16/2022,278129,3858,479940,54100,70507
1/17/2022,102169,4070,672715,64935,88430
1/18/2022,464769,5800,1129298,69658,94158
1/19/2022,436167,6601,908126,72615,107839
1/20/2022,426943,6766,732721,71843,106902
1/21/2022,400851,7005,841161,72555,96125
1/22/2022,389320,7628,303898,72856,75735
1/23/2022,301614,7511,365273,65503,75128
1/24/2022,108481,8566,919606,67023,94636
1/25/2022,502507,13004,494202,76341,94357
1/26/2022,427136,14514,624194,77434,102094
1/27/2022,392617,16085,506265,82180,96619
1/28/2022,353503,17540,614463,93586,88934
1/29/2022,332398,17515,179436,94783,72557
1/30/2022,249448,17072,198230,88145,62820
1/31/2022,86376,18333,540867,93261,112819
2/1/2022,413177,20268,325948,102601,87334
2/2/2022,315363,22904,329406,110682,93138
2/3/2022,274352,27442,275087,107530,82490
2/4/2022,241049,36362,355323,111157,60487
2/5/2022,214542,38670,86815,98715,53622
2/6/2022,155439,35275,83608,87934,63627
2/7/2022,46001,36718,345793,96514,66508
2/8/2022,235267,49558,214448,111096,67783
2/9/2022,0,54122,188591,108563,162466
2/10/2022,333226,53926,171446,98602,58691
2/11/2022,131376,54918,209493,95065,45872
2/12/2022,118611,56425,52097,86193,41183
2/13/2022,86562,54616,58384,73787,41399
2/14/2022,26475,57175,169881,76632,46184
2/15/2022,0,90430,111238,94730,54091
2/16/2022,240988,93127,114898,94176,51725
2/17/2022,92446,109828,101828,92406,47481
2/18/2022,82639,102203,145244,87411,39218
2/19/2022,76552,104828,31524,80454,31010
2/20/2022,59003,95347,23065,70355,38524
2/21/2022,17195,99550,82787,85026,41353
2/22/2022,97382,171448,89370,86070,39838
2/23/2022,66833,170006,85101,86600,38668
2/24/2022,66805,165889,67061,79708,31885
2/25/2022,58138,166206,74565,71736,0
2/26/2022,53623,163558,47457,61764,0
2/27/2022,42600,139615,18292,49792,82113
2/28/2022,13483,138993,98801,64275,99485
3/1/2022,79794,219237,46671,59885,45036
3/2/2022,57697,198802,53420,56780,45683
3/3/2022,60282,266838,48657,49424,44806
3/4/2022,57789,254326,51292,38283,0
3/5/2022,53678,243612,14947,32389,0
3/6/2022,45328,210713,11043,27671,126436
3/7/2022,14496,202714,63419,34343,62407
3/8/2022,93050,342427,29762,37407,68378
3/9/2022,69190,327532,37370,33243,84401
3/10/2022,74818,282976,46480,29492,72858
3/11/2022,72399,383651,49712,25401,0
3/12/2022,70524,350176,10463,20465,0
3/13/2022,59036,309769,10826,17426,170814
3/14/2022,22158,362328,34744,24404,120057
3/15/2022,116618,400725,25550,24614,93576
3/16/2022,108832,621317,45015,22345,90815
3/17/2022,101747,407017,52884,21354,92449
3/18/2022,97579,381329,33510,19126,0
3/19/2022,98104,334708,10918,17328,0
3/20/2022,81283,209169,6623,13081,225992
3/21/2022,24231,353725,45644,14933,95098
3/22/2022,180777,490707,23011,17426,102670
3/23/2022,154054,395589,40987,17161,
