time,France,Korea,USA
1,219126,3830,188995
2,58432,3124,285649
3,67461,3019,1043957
4,271746,4443,811833
5,332252,4123,662548
6,262787,3716,834748
7,328214,3507,869717
8,303669,3376,397829
9,296097,2999,485174
10,93896,3093,1382120
11,368379,4385,786384
12,361719,4162,848812
13,308221,4536,861709
14,329371,4418,879779
15,324580,4190,409343
16,278129,3858,479940
17,102169,4070,672715
18,464769,5800,1129298
19,436167,6601,908126
20,426943,6766,732721
21,400851,7005,841161
22,389320,7628,303898
23,301614,7511,365273
24,108481,8566,919606
25,502507,13004,494202
26,427136,14514,624194
27,392617,16085,506265
28,353503,17540,614463
29,332398,17515,179436
30,249448,17072,198230
31,86376,18333,540867
32,413177,20268,325948
33,315363,22904,329406
34,274352,27442,275087
35,241049,36362,355323
36,214542,38670,86815
37,155439,35275,83608
38,46001,36718,345793
39,235267,49558,214448
40,0,54122,188591
41,333226,53926,171446
42,131376,54918,209493
43,118611,56425,52097
44,86562,54616,58384
45,26475,57175,169881
46,0,90430,111238
47,240988,93127,114898
48,92446,109828,101828
49,82639,102203,145244
50,76552,104828,31524
51,59003,95347,23065
52,17195,99550,82787
53,97382,171448,89370
54,66833,170006,85101
55,66805,165889,67061
56,58138,166206,74565
57,53623,163558,47457
58,42600,139615,18292
59,13483,138993,98801
60,79794,219237,46671
61,57697,198802,53420
62,60282,266838,48657
63,57789,254326,51292
64,53678,243612,14947
65,45328,210713,11043
66,14496,202714,63419
67,93050,342427,29762
68,69190,327532,37370
69,74818,282976,46480
70,72399,383651,49712
71,70524,350176,10463
72,59036,309769,10826
73,22158,362328,34744
74,116618,400725,25550
75,108832,621317,45015
76,101747,407017,52884
77,97579,381329,33510
78,98104,334708,10918
79,81283,209169,6623
80,24231,353725,45644
81,180777,490707,23011
